Index,Amount Paid ($),Change
2024-01-11,2.85,2.5
2023-10-12,0.35,0
2023-07-13,0.35,0
2023-04-13,0.35,-2.65
2023-01-12,3,2.65
2022-10-13,0.35,0
2022-07-14,0.35,0
2022-04-13,0.35,-5.65
2021-12-17,6,5.67
2021-10-14,0.33,0
2021-07-14,0.33,0
2021-04-14,0.33,-1.97
2020-12-18,2.3,2
2020-10-14,0.3,-1.25
2020-01-09,1.55,1.3
2019-10-10,0.25,0
2019-07-11,0.25,0
2019-04-11,0.25,-1
2019-01-10,1.25,1
2018-10-11,0.25,0
2018-07-12,0.25,0
2018-04-12,0.25,-1.75
2018-01-11,2,1.75
2017-10-12,0.25,0
2017-07-12,0.25,0
2017-04-11,0.25,-0.75
2017-01-11,1,0.75
2016-10-12,0.25,0
2016-07-13,0.25,0
2016-04-13,0.25,-1
2016-01-13,1.25,1.02
2015-10-13,0.23,0
2015-07-13,0.23,0
2015-04-13,0.23,-2.77
2015-01-13,3,2.78
2014-10-10,0.22,0
2014-07-11,0.22,0
2014-04-11,0.22,-1.2
2014-01-13,1.42,1.224707
2013-10-10,0.195293,0
2013-07-11,0.195293,0
2013-04-11,0.195293,-4.394103
2012-12-05,4.589396,4.394103
2012-10-11,0.195293,0
2012-07-11,0.195293,0
2012-04-11,0.195293,0
2012-01-11,0.195293,-2.197051
2011-10-12,2.392344,2.197051
2011-07-13,0.195293,0
2011-04-13,0.195293,0
2011-01-12,0.195293,-2.245875
2010-12-01,2.441168,2.245875
2010-10-13,0.195293,0
2010-07-13,0.195293,0
2010-04-13,0.195293,0
2010-01-13,0.195293,-1.757641
2009-10-13,1.952934,1.757641
2009-07-13,0.195293,0
2009-04-13,0.195293,0
2009-01-13,0.195293,-1.952935
2008-10-10,2.148228,1.985483
2008-07-11,0.162745,0
2008-04-11,0.162745,0
2008-01-11,0.162745,0
2007-10-11,0.162745,0.032549
2007-07-12,0.130196,0
2007-04-12,0.130196,0.043616
2007-01-17,0.08658,-0.000217
2006-10-12,0.086797,0.013019
2006-07-12,0.073778,0
2006-04-12,0.073778,0
2006-01-11,0.073778,0
2005-10-12,0.073778,0.00868
2005-07-13,0.065098,0.01302
2005-04-13,0.052078,0
2005-01-12,0.052078,0
2004-10-13,0.052078,0.008679
2004-07-13,0.043399,0
2004-04-13,0.043399,0
2004-01-13,0.043399,0
2003-10-10,0.043399,-0.390586
1996-12-20,0.433985,
