Index,2019,2020,2021,2022,2023
Calendar year,2018-01-01T00:00:00.000,2019-01-01T00:00:00.000,2020-01-01T00:00:00.000,2021-01-01T00:00:00.000,2022-01-01T00:00:00.000
Period,FY,FY,FY,FY,FY
Current ratio,4.1059655501,2.194322322,2.1187542099,1.5740099219,1.8728118101
Quick ratio,2.5173025339,1.3706883069,1.5747847198,1.1224828097,1.2640161385
Cash ratio,1.8673767984,1.2799335036,1.5448272186,1.0218434785,1.1151727769
Days of sales outstanding,2.9220741822,1.271463387,1.1432599043,3.407794798,3.4318797312
Days of inventory outstanding,87.9713643793,84.6611767856,73.6860929666,58.0810336067,68.2531411391
Operating cycle,90.8934385615,85.9326401726,74.8293528709,61.4888284047,71.6850208703
Days of payables outstanding,20.3840030187,18.4957630361,31.6426659475,34.1050782577,24.4548210955
Cash conversion cycle,70.5094355427,67.4368771366,43.1866869233,27.3837501469,47.2301997747
Gross profit margin,0.4134101114,0.4192972206,0.444555398,0.504407129,0.5025345918
Operating profit margin,0.1062455392,0.1460665546,0.1864263856,0.2591512328,0.2439303978
Pretax profit margin,0.1430204089,0.1529646078,0.1896717772,0.2608938465,0.2490776375
Net profit margin,0.1079711258,0.1159994846,0.1443938496,0.1968319343,0.189286694
Effective tax rate,0.2450649064,0.241658013,0.2387172632,0.2455478083,0.2400494246
Return on assets,0.1813154511,0.1203251564,0.1538624331,0.3263224756,0.3040023687
Return on equity,0.2427356764,0.2683529146,0.3281126695,0.8143191318,0.676631749
Return on capital employed,0.2152446669,0.189136554,0.26275813,0.630230885,0.5365702101
Net income per EBT,0.7549350936,0.758341987,0.7612827368,0.7544521917,0.7599505754
Ebt per ebit,1.3461309524,1.047225412,1.0174084346,1.0067243121,1.0211012641
Ebit per revenue,0.1062455392,0.1460665546,0.1864263856,0.2591512328,0.2439303978
Debt ratio,0.0097515276,0.4350228716,0.3620985228,0.3692481854,0.3626941459
Debt equity ratio,0.0130548369,0.9702015686,0.7721775261,0.9214377932,0.8072646779
Long term debt to capitalization,0,0.4272063304,0.3614447745,0.3900009942,0.3631640583
Total debt to capitalization,0.0128866044,0.4924377201,0.4357224458,0.4795564012,0.4466776161
Interest coverage,-2.8890799656,0,0,-16.0180950107,-12.7286551069
Cash flow to debt ratio,21.1448852587,0.3460847777,0.7425522745,1.0812027468,0.7978734961
Company equity multiplier,1.3387478832,2.2302311717,2.1325067002,2.495442983,2.2257449896
Receivables turnover,124.9112709832,287.0707908163,319.2624867163,107.1073881029,106.3557084124
Payables turnover,17.9061982901,19.7342493677,11.5350584115,10.7022185154,14.9254823241
Inventory turnover,4.1490774023,4.3113031717,4.9534448809,6.2843234243,5.3477392236
Fixed asset turnover,6.7759599639,1.9404702373,2.3732018864,3.6019537141,3.5047065965
Asset turnover,1.6792957357,1.03729044,1.0655747008,1.6578736406,1.6060419375
Operating cash flow per share,2.2458224031,2.6892996069,4.6645472259,6.3631056864,4.9195640261
Free cash flow per share,2.038832545,2.5386008603,4.507496667,5.9732620321,4.3033550508
Cash per share,4.5445851321,4.8058328359,6.6074864117,5.4475241866,5.5425115184
Payout ratio,1.0223412267,1.0806768235,0.9870984102,1.3648771682,0.7967607393
Operating cash flow sales ratio,0.1227865513,0.1451423709,0.2523305795,0.2408097593,0.1801846137
Free cash flow operating cash flow ratio,0.9078333809,0.943963571,0.9663310175,0.9387337452,0.874743174
Cash flow coverage ratios,21.1448852587,0.3460847777,0.7425522745,1.0812027468,0.7978734961
Short term coverage ratios,21.1448852587,1.4964954074,2.7814877327,3.5317027857,2.7176830704
Capital expenditure coverage ratio,-10.8499151781,-17.8455340071,-29.7009272561,-16.3221989529,-7.9835968379
Dividend paid and capex coverage ratio,1.2394354958,1.2381552515,1.8825691415,0.9484511619,1.4049827262
Dividend payout ratio,1.0223412267,1.0806768235,0.9870984102,1.3648771682,0.7967607393
Price book value ratio,2.1362454269,3.0477059371,4.8333495534,5.7178768008,5.6756090658
Price to book ratio,2.1362454269,3.0477059371,4.8333495534,5.7178768008,5.6756090658
Price to sales ratio,0.9502221806,1.3174156072,2.1270313932,1.3820880622,1.5877429309
Price earnings ratio,8.8007064262,11.3570815578,14.730761724,7.0216658033,8.3880324476
Price to free cash flows ratio,8.5244862521,9.6155328636,8.7232454963,6.113912265,10.0735355293
Price to operating cash flows ratio,7.7388131743,9.0767127387,8.4295426963,5.7393357583,8.8117564423
Price cash flow ratio,7.7388131743,9.0767127387,8.4295426963,5.7393357583,8.8117564423
Price earnings to growth ratio,1.4881194503,1.2429694816,0.6090603405,0.0741021648,-14.5392562425
Price sales ratio,0.9502221806,1.3174156072,2.1270313932,1.3820880622,1.5877429309
Dividend yield,0.1161658141,0.0951544477,0.0670093257,0.1943808216,0.0949877989
Enterprise value multiple,5.5648562781,10.2100555146,11.3349775625,5.4355776917,6.6665828081
Price fair value,2.1362454269,3.0477059371,4.8333495534,5.7178768008,5.6756090658
