Index,2018,2019,2020,2021,2022
Calendar year,2018-01-01T00:00:00.000,2019-01-01T00:00:00.000,2020-01-01T00:00:00.000,2021-01-01T00:00:00.000,2022-01-01T00:00:00.000
Period,FY,FY,FY,FY,FY
Revenue per share,21.8475095271,21.5445997091,21.2310518805,33.1865195366,35.207845866
Net income per share,0.9100000071,0.8950000008,1.2350000062,4.1250000022,5.82000004
Operating cash flow per share,1.4625998831,1.7775906207,2.1697515756,2.7443153455,6.4001912287
Free cash flow per share,1.1273706518,1.5013755311,1.7812161274,2.4640474273,6.0674346475
Cash per share,1.1382339571,0.8681602828,1.054229429,0.7741110309,6.0018098408
Book value per share,4.7770317911,5.7035996166,6.8769047898,10.7599179388,15.8330035296
Tangible book value per share,3.0573540095,3.9778979354,4.9233289016,9.0149105209,14.1592482698
Shareholders equity per share,4.7770317911,5.7035996166,6.8769047898,10.7599179388,15.8330035296
Interest debt per share,4.5465328376,3.8963239842,3.319917432,0.2878836551,0.2180214684
Market cap,1344192176.39,1791547886.76,1970973957.6499999,3322232725.5,3336825063
Enterprise value,1768274176.39,2107495886.76,2207635957.6499996,3259297725.5,2899658063
Pe ratio,12.8681317683,17.7430167448,14.1295545845,7.0909090871,5.0687284875
Price to sales ratio,0.5359878656,0.7370756577,0.8219093476,0.881381971,0.8378814231
Pocfratio,8.0062908083,8.9334404757,8.0423953583,10.6583961088,4.6092372783
Pfcf ratio,10.3870009226,10.5769673682,9.7966775238,11.8707130701,4.8620218781
Pb ratio,2.4513129726,2.7842066533,2.5374787834,2.718422219,1.8631967046
Ptb ratio,2.4513129726,2.7842066533,2.5374787834,2.718422219,1.8631967046
Ev to sales,0.7050877979,0.8670624594,0.9205989874,0.8646854362,0.7281081803
Enterprise value over EBITDA,8.3584608087,8.995167939,8.0821082758,5.0960606867,3.1257902315
Ev to operating cash flow,10.532212234,10.5088952388,9.0080749722,10.4564878698,4.0053679129
Ev to free cash flow,13.6640175595,12.4422659241,10.9730001673,11.645839201,4.2250344789
Earnings yield,0.0777113584,0.0563602016,0.0707736393,0.1410256411,0.1972881369
Free cash flow yield,0.0962741803,0.0945450586,0.1020754228,0.0842409377,0.2056757508
Debt to equity,0.9057947757,0.6432207973,0.4579842806,0.0204472891,0.0133177808
Debt to assets,0.3626726755,0.3019038032,0.2327256622,0.0144533979,0.0106363765
Net debt to EBITDA,2.0045945499,1.3485223567,0.8664145473,-0.0984017437,-0.4712598205
Current ratio,3.0181055923,2.9612057007,2.4300839411,2.6644850551,4.4061872838
Interest coverage,6.8641215921,7.4525172293,12.7727957604,85.0752367363,1082.9
Income quality,1.5717281408,1.8877927555,1.7060543408,0.6560413703,1.0922165897
Dividend yield,0.0168911859,0.0124612912,0.0113350052,0.0087703067,0.016718587
Payout ratio,0.2173580065,0.2211008993,0.1601585743,0.0621894476,0.084741978
Sales general and administrative to revenue,0.0593681192,0.066400863,0.0665054797,0.0488286426,0.0509951776
Research and ddevelopement to revenue,0,0,0,0,0
Intangibles to total assets,0.155018915,0.1556289845,0.1602617613,0.1347904145,0.0947079445
Capex to operating cash flow,-0.2292009149,-0.1553873464,-0.1790690937,-0.1021267176,-0.0519916623
Capex to revenue,-0.0153440478,-0.0128206183,-0.0183003391,-0.0084452339,-0.0094512053
Capex to depreciation,-0.9650891581,-0.7245123341,-0.9717240158,-0.6972511225,-0.8537243694
Stock based compensation to revenue,0.0032039039,0.003597442,0.0035737474,0.0026057578,0.0044698559
Graham number,9.8898800135,10.7171002317,13.8236027436,31.6015012971,45.5338536304
Roic,0.1314538492,0.1389596415,0.155837543,0.3827543905,0.3558459219
Return on tangible assets,0.090265398,0.08722665,0.1086735167,0.3132044292,0.3242894426
Graham net net,-2.6628666238,-2.325422681,-1.6182676273,1.6285108569,6.7204602659
Working capital,469817000,459485000,485718000,636564000,1186358000
Tangible asset value,350954000,448778000,556089000,1023919000,1601591000
Net current asset value,-103671000,-15032000,97853000,547030000,1106218000
Invested capital,0.9057947757,0.6432207973,0.4579842806,0.0204472891,0.0133177808
Average receivables,259106000,271680000,313737500,414695500,426105500
Average payables,103128500,94699000,116692500,164267000,154396500
Average inventory,328848000,310951000,303554500,372623000,439581500
Days sales outstanding,39.7934847708,40.5367178526,54.4190325194,45.6919000516,34.8600247837
Days payables outstanding,17.6107747396,15.3566056366,27.4267799026,22.4531105765,16.3079408362
Days of inventory on hand,55.9780389695,52.3769558019,58.4772711899,53.4330206748,57.1948788458
Receivables turnover,9.1723557789,9.0041823644,6.7072122216,7.9882867552,10.4704457976
Payables turnover,20.7259479153,23.7682733175,13.3081609032,16.2560995171,22.381734375
Inventory turnover,6.5204141967,6.9687135194,6.2417413223,6.8309819544,6.3816902381
Roe,0.190494861,0.1569184482,0.1795866082,0.3833672362,0.3675866066
Capex per share,-0.3352292313,-0.2762150896,-0.3885354482,-0.2802679183,-0.3327565812
