Index,2018,2019,2020,2021,2022
Reported Currency,USD,USD,USD,USD,USD
Cik,0000089439,0000089439,0000089439,0000089439,0000089439
Filing Date,2019-02-27T00:00:00.000,2020-02-26T00:00:00.000,2021-02-24T00:00:00.000,2022-02-23T00:00:00.000,2023-02-28T00:00:00.000
Accepted Date,2019-02-27T16:07:18.000,2020-02-26T16:29:41.000,2021-02-24T16:37:14.000,2022-02-23T16:04:54.000,2023-02-28T16:10:57.000
Calendar Year,2018-01-01T00:00:00.000,2019-01-01T00:00:00.000,2020-01-01T00:00:00.000,2021-01-01T00:00:00.000,2022-01-01T00:00:00.000
Period,FY,FY,FY,FY,FY
Cash And Cash Equivalents,72616000,97944000,119075000,87924000,461018000
Short Term Investments,58042000,0,0,0,217863000
Cash And Short Term Investments,72616000,97944000,119075000,87924000,678881000
Net Receivables,273417000,269943000,357532000,471859000,380352000
Inventory,329795000,292107000,315002000,430244000,448919000
Other Current Assets,26790000,33778000,33752000,28976000,26501000
Total Current Assets,702618000,693772000,825361000,1019003000,1534653000
Property Plant Equipment,370633000,390050000,405873000,409072000,402842000
Goodwill,150335000,153276000,167764000,171330000,157588000
Intangible Assets Excluding Goodwill,61971000,60082000,77207000,61714000,54785000
Intangible Assets,212306000,213358000,244971000,233044000,212373000
Long Term Investments,58042000,48363000,37976000,61133000,72364000
Tax Assets,16615000,-261721000,-282947000,-294177000,16258000
Other Non Currrent Assets,9335000,287118000,297334000,300861000,3909000
Total Non Current Assets,666931000,677168000,703207000,709933000,707746000
Other Assets,0,0,0,0,0
Total Assets,1369549000,1370940000,1528568000,1728936000,2242399000
Current Accounts Payable,103754000,85644000,147741000,180793000,128000000
Current Debt,7101000,12780000,47542000,6826000,5753000
Tax Payables,0,0,0,0,0
Deferred Revenue,16615000,0,0,0,0
Other Non Current Liabilities,105331000,135863000,144360000,194820000,214542000
Total Current Liabilities,232801000,234287000,339643000,382439000,348295000
Long Term Debt Non Current,489597000,401112000,308195000,18163000,18098000
Deferred Revenue Non Current,49064000,42180000,48097000,35211000,0
Deferred Tax Liabilities,16615000,21094000,16842000,14347000,16258000
Other Non Current Liabilities,18212000,10131000,14731000,21813000,45784000
Total Non Current Liabilities,573488000,474517000,387865000,89534000,80140000
Other Liabilities,0,0,0,0,0
Capital Lease Obligations,0,27638000,27861000,23114000,21822000
Total Liabilities,806289000,708804000,727508000,471973000,428435000
Preferred Stock,0,0,0,0,0
Common Stock,802000,802000,802000,802000,802000
Retained Earnings,824737000,903070000,1019694000,1458489000,2059796000
Accumulated Other Comprehensive Income,-79792000,-68770000,-54883000,-53347000,-64175000
Other Total Stockholders Equity,-197391000,-191634000,-188868000,-183826000,-205509000
Total Shareholder Equity,548356000,643468000,776745000,1222118000,1790914000
Equity,563260000,662136000,801060000,1256963000,1813964000
Total Liabilities And Stockholders Equity,1369549000,1370940000,1528568000,1728936000,2242399000
Equity Attributable To Non Controlling Interest,14904000,18668000,24315000,34845000,23050000
Liabilities And Equity,1369549000,1370940000,1528568000,1728936000,2242399000
Total Investments,116084000,48363000,37976000,61133000,217863000
Total Debt,496698000,413892000,355737000,24989000,23851000
Net Debt,424082000,315948000,236662000,-62935000,-437167000
