Index,2018,2019,2020,2021,2022
Reported Currency,USD,USD,USD,USD,USD
Cik,0000089439,0000089439,0000089439,0000089439,0000089439
Filling Date,2019-02-27T00:00:00.000,2020-02-26T00:00:00.000,2021-02-24T00:00:00.000,2022-02-23T00:00:00.000,2023-02-28T00:00:00.000
Accepted Date,2019-02-27T16:07:18.000,2020-02-26T16:29:41.000,2021-02-24T16:37:14.000,2022-02-23T16:04:54.000,2023-02-28T16:10:57.000
Calendar Year,2018-01-01T00:00:00.000,2019-01-01T00:00:00.000,2020-01-01T00:00:00.000,2021-01-01T00:00:00.000,2022-01-01T00:00:00.000
Period,FY,FY,FY,FY,FY
Revenue,2507878000,2430616000,2398043000,3769345000,3982455000
Cost Of Revenue,2150400000,2035610000,1966161000,2938989000,2864862000
Gross Profit,357478000,395006000,431882000,830356000,1117593000
Gross Profit Ratio,0.1425420216,0.1625127128,0.180097688,0.2202918544,0.2806291597
Research And Development Expenses,0,0,0,0,0
General And Administrative Expenses,148888000,161395000,159483000,184052000,203086000
Selling And Marketing Expenses,3681000,0,0,0,0
Selling General And Administrative,148888000,161395000,159483000,184052000,203086000
Other Expenses,3967000,44014000,49297000,50443000,45029000
Operating Expenses,189763000,205409000,208780000,234495000,248115000
Costs And Expenses,2340163000,2241019000,2174941000,3173484000,3112977000
Interest Income,624000,722000,1101000,353000,6457000
Interest Expense,25199000,25683000,19247000,7709000,810000
Depreciation And Amortization,39873000,42889000,27313000,-16273000,50507000
Ebitda,211555000,234292000,273151000,639572000,927656000
Ebitda Ratio,0.0843561768,0.0963920257,0.1139057974,0.1696772251,0.2329357143
Operating Income,172969000,191403000,245838000,655845000,877149000
Operating Income Ratio,0.0689702609,0.0787467045,0.1025160933,0.1739944208,0.2202533362
Non Operating Income Loss,7901000,-25320000,-36649000,-14706000,-1118000
Income Before Tax,150417000,166083000,209189000,641139000,876031000
Income Before Tax Ratio,0.059977798,0.0683295922,0.0872332148,0.1700929472,0.2199726048
Income Tax Expense,30952000,35257000,55321000,165858000,223322000
Net Income,104459000,100972000,139493000,468520000,658316000
Net Income Ratio,0.0416523451,0.0415417326,0.0581695157,0.1242974575,0.165304065
Basic Earnings Per Share,0.91,0.9,1.25,4.18,5.9
Diluted Earnings Per Share,0.91,0.9,1.24,4.13,5.82
Basic Average Shares,114790109,112817877,112949797,113580606,113112714
Diluted Average Shares,114538000,112686000,112780000,113596000,113110000
