DATES,Assets,Debts,NET
February 2022,"$443,679.14","$51,329.49","$392,349.65"
March 2022,"$444,281.99","$51,329.49","$392,952.50"
April 2022,"$452,246.59","$53,905.03","$398,341.56"
May 2022,"$456,196.73","$52,197.33","$403,999.40"
June 2022,"$455,347.38","$50,665.88","$404,681.50"
July 2022,"$458,061.09","$51,804.34","$406,256.75"
August 2023,"$458,100","$50,700","$408,700"
September 2022,"$459,274.07","$49,539.18","$409,734.89"
October 2022,"$463,190.97","$48,264.16","$414,926.81"
November 2022,"$460,922.33","$47,020.21","$413,902.12"
December 2022,"$464,873.43","$44,752.34","$420,121.09"
January 2023,"$524,237.95","$42,991.83","$481,246.12"
February 2023,"$518,957.78","$37,392.21","$481,565.57"
March 2023,"$518,791.19","$37,392.21","$481,398.98"
April 2023,"$519,172.34","$37,089.58","$482,082.76"
May 2023,"$517,841.13","$38,937.86","$478,903.27"
June 2023,"$523,705.59","$42,459.81","$481,245.78"
July 2023,"$524,479.81","$39,882.14","$484,597.67"
August 2023,"$523,740.19","$40,493.77","$483,246.42"
